pier_id,label,pier_type,x,y,x_rel,y_rel,symbol_x0,symbol_y0,symbol_x1,symbol_y1
VP00048,P14,SAP,1075.934875,2101.392334,0.319269,0.881457,1073.670044,2100.25,1078.380005,2104.959961
VP00049,P15,SAP,1061.114929,2101.392334,0.314871,0.881457,1058.849976,2100.25,1063.559937,2104.959961
VP00050,P16,SAP,1048.364929,2101.392334,0.311088,0.881457,1046.130005,2100.25,1050.839966,2104.959961
VP00051,P17,SAPEND,1037.744934,2101.422119,0.307936,0.881469,1036.380005,2099.620117,1039.22998,2105.590088
VP00052,P1,SAPEND,1275.764954,2108.561523,0.378565,0.884464,1274.400024,2106.700195,1277.219971,2112.669922
VP00053,P2,SAP,1265.114929,2108.531494,0.375405,0.884451,1262.819946,2107.330078,1267.529907,2112.040039
VP00054,P3,SAP,1252.394958,2108.561523,0.371631,0.884464,1250.099976,2107.330078,1254.809937,2112.040039
VP00055,P4,SAP,1237.514954,2108.561523,0.367215,0.884464,1235.280029,2107.330078,1239.98999,2112.040039
VP00056,P5,SAP,1222.754944,2108.561523,0.362835,0.884464,1220.459961,2107.330078,1225.169922,2112.040039
VP00057,P6,SAP,1205.864929,2108.531494,0.357823,0.884451,1203.569946,2107.330078,1208.279907,2112.040039
VP00058,P7,SAP,1191.014954,2108.561523,0.353417,0.884464,1188.75,2107.330078,1193.459961,2112.040039
VP00059,P8,SAP,1174.154968,2108.561523,0.348414,0.884464,1171.859985,2107.330078,1176.569946,2112.040039
VP00060,P9,SMP,1158.07489,2108.531494,0.343642,0.884451,1155.449951,2107.0,1160.789917,2112.370117
VP00061,P10,SAP,1141.964905,2108.412354,0.338862,0.884401,1139.699951,2107.330078,1144.409912,2112.040039
VP00062,P11,SAP,1125.104919,2108.532227,0.333859,0.884451,1122.809937,2107.330078,1127.519897,2112.040039
VP00063,P12,SAP,1110.31488,2108.442139,0.32947,0.884414,1107.98999,2107.330078,1112.699951,2112.040039
VP00064,P13,SAP,1093.394958,2108.442139,0.32445,0.884414,1091.099976,2107.330078,1095.809937,2112.040039
VP00065,P14,SAP,1078.544861,2108.442139,0.320043,0.884414,1076.280029,2107.330078,1080.98999,2112.040039
VP00066,P15,SAP,1063.724915,2108.47229,0.315645,0.884426,1061.459961,2107.330078,1066.169922,2112.040039
VP00067,P16,SAP,1051.004944,2108.47229,0.311871,0.884426,1048.73999,2107.330078,1053.449951,2112.040039
VP00068,P17,SAPEND,1040.354919,2108.47229,0.308711,0.884426,1039.02002,2106.700195,1041.839966,2112.669922
VP00069,P1,SAPEND,1278.374939,2115.641479,0.37934,0.887434,1277.01001,2113.780029,1279.859985,2119.75
VP00070,P2,SAP,1267.724915,2115.581543,0.376179,0.887408,1265.429932,2114.379883,1270.139893,2119.089844
VP00071,P3,SAP,1255.004944,2115.611572,0.372405,0.887421,1252.709961,2114.379883,1257.419922,2119.089844
VP00072,P4,SAP,1240.124939,2115.641479,0.36799,0.887434,1237.890015,2114.379883,1242.599976,2119.089844
VP00073,P5,SAP,1225.394958,2115.611572,0.363619,0.887421,1223.069946,2114.379883,1227.779907,2119.089844
VP00074,P6,SAP,1208.474915,2115.611572,0.358598,0.887421,1206.179932,2114.379883,1210.889893,2119.089844
VP00075,P7,SAP,1193.624939,2115.641479,0.354191,0.887434,1191.359985,2114.379883,1196.069946,2119.089844
VP00076,P8,SAP,1176.764954,2115.611572,0.349188,0.887421,1174.469971,2114.379883,1179.179932,2119.089844
VP00077,P9,SMP,1160.684875,2115.581543,0.344417,0.887408,1158.059937,2114.080078,1163.400024,2119.450195
VP00078,P10,SAP,1144.57489,2115.462158,0.339636,0.887358,1142.309937,2114.379883,1147.019897,2119.089844
VP00079,P11,SAP,1127.714905,2115.582275,0.334634,0.887409,1125.420044,2114.379883,1130.130005,2119.089844
VP00080,P12,SAP,1112.924866,2115.522217,0.330245,0.887383,1110.599976,2114.379883,1115.309937,2119.089844
VP00081,P13,SAP,1096.004944,2115.522217,0.325224,0.887383,1093.709961,2114.379883,1098.419922,2119.089844
VP00082,P14,SAP,1081.154968,2115.522217,0.320817,0.887383,1078.890015,2114.379883,1083.599976,2119.089844
VP00083,P15,SAP,1066.3349,2115.522217,0.31642,0.887383,1064.069946,2114.379883,1068.779907,2119.089844
VP00084,P16,SAP,1053.614929,2115.552246,0.312645,0.887396,1051.349976,2114.379883,1056.059937,2119.089844
VP00085,P17,SAPEND,1042.964905,2115.552246,0.309485,0.887396,1041.630005,2113.780029,1044.449951,2119.75
VP00086,P1,SAPEND,1281.014954,2122.691528,0.380123,0.890391,1279.619995,2120.830078,1282.469971,2126.800049
VP00087,P2,SAP,1270.364929,2122.661499,0.376963,0.890378,1268.040039,2121.459961,1272.75,2126.169922
VP00088,P3,SAP,1257.614929,2122.691528,0.37318,0.890391,1255.319946,2121.459961,1260.029907,2126.169922
VP00089,P4,SAP,1242.734924,2122.721558,0.368764,0.890403,1240.5,2121.459961,1245.209961,2126.169922
VP00090,P5,SAP,1228.004944,2122.691528,0.364393,0.890391,1225.679932,2121.459961,1230.389893,2126.169922
VP00091,P6,SAP,1211.114929,2122.691528,0.359381,0.890391,1208.790039,2121.459961,1213.5,2126.169922
VP00092,P7,SAP,1196.234924,2122.721558,0.354966,0.890403,1194.0,2121.459961,1198.709961,2126.169922
VP00093,P8,SAP,1179.374939,2122.691528,0.349963,0.890391,1177.109985,2121.459961,1181.819946,2126.169922
VP00094,P9,SMP,1163.32489,2122.661499,0.3452,0.890378,1160.669922,2121.160156,1166.039917,2126.5
VP00095,P10,SAP,1147.184875,2122.542236,0.340411,0.890328,1144.920044,2121.459961,1149.630005,2126.169922
VP00096,P11,SAP,1130.32489,2122.662354,0.335408,0.890379,1128.030029,2121.459961,1132.73999,2126.169922
VP00097,P12,SAP,1115.534973,2122.602295,0.331019,0.890353,1113.209961,2121.459961,1117.919922,2126.169922
VP00098,P13,SAP,1098.614929,2122.572144,0.325998,0.890341,1096.319946,2121.459961,1101.029907,2126.169922
VP00099,P14,SAP,1083.764954,2122.602295,0.321592,0.890353,1081.5,2121.459961,1086.209961,2126.169922
VP00100,P15,SAP,1068.944885,2122.602295,0.317194,0.890353,1066.709961,2121.459961,1071.419922,2126.169922
VP00101,P16,SAP,1056.224915,2122.602295,0.31342,0.890353,1053.959961,2121.459961,1058.669922,2126.169922
VP00102,P17,SAPEND,1045.604919,2122.63208,0.310269,0.890366,1044.23999,2120.830078,1047.059937,2126.800049
VP00103,P1,SAPEND,1283.624939,2129.771484,0.380898,0.893361,1282.26001,2127.910156,1285.079956,2133.879883
VP00104,P2,SAP,1272.974915,2129.741455,0.377737,0.893348,1270.679932,2128.540039,1275.389893,2133.25
VP00105,P3,SAP,1260.224915,2129.771484,0.373954,0.893361,1257.929932,2128.540039,1262.639893,2133.25
VP00106,P4,SAP,1245.34491,2129.771484,0.369539,0.893361,1243.109985,2128.540039,1247.819946,2133.25
VP00107,P5,SAP,1230.614929,2129.771484,0.365168,0.893361,1228.319946,2128.540039,1233.029907,2133.25
VP00108,P6,SAP,1213.724915,2129.741455,0.360156,0.893348,1211.429932,2128.540039,1216.139893,2133.25
VP00109,P7,SAP,1198.84491,2129.771484,0.35574,0.893361,1196.609985,2128.540039,1201.319946,2133.25
VP00110,P8,SAP,1181.984924,2129.771484,0.350737,0.893361,1179.719971,2128.540039,1184.429932,2133.25
VP00111,P9,SMP,1165.934875,2129.741455,0.345975,0.893348,1163.280029,2128.209961,1168.650024,2133.580078
VP00112,P10,SAP,1149.794861,2129.622314,0.341185,0.893298,1147.530029,2128.540039,1152.23999,2133.25
VP00113,P11,SAP,1132.934875,2129.742188,0.336182,0.893348,1130.640015,2128.540039,1135.349976,2133.25
VP00114,P12,SAP,1118.144958,2129.6521,0.331794,0.89331,1115.819946,2128.540039,1120.529907,2133.25
