symbol_id,shape,x,y,x_rel,y_rel,hits
P1195,diamond,1809.0,3478.0,0.191713,0.521049,1
P1196,diamond,1927.5,3479.0,0.204271,0.521199,2
P1197,circle,2641.0,3479.0,0.279886,0.521199,1
P1198,circle,1215.0,3480.0,0.128762,0.521348,1
P1199,circle,1275.0,3483.0,0.135121,0.521798,1
P1200,circle,6402.0,3483.5,0.678465,0.521873,1
P1201,circle,1849.0,3489.0,0.195952,0.522697,1
P1202,circle,1789.5,3489.5,0.189646,0.522772,1
P1203,circle,1116.5,3490.0,0.118323,0.522846,1
P1204,circle,6382.0,3491.0,0.676346,0.522996,1
P1205,circle,2621.0,3492.0,0.277766,0.523146,1
P1206,circle,6283.0,3492.0,0.665854,0.523146,1
P1207,circle,1196.0,3493.0,0.126749,0.523296,1
P1208,circle,2562.0,3494.0,0.271513,0.523446,1
P1209,circle,1136.0,3495.0,0.12039,0.523596,1
P1210,circle,6244.0,3495.0,0.661721,0.523596,1
P1211,circle,1255.0,3496.0,0.133001,0.523745,1
P1212,circle,6263.0,3499.0,0.663735,0.524195,1
P1213,circle,6224.0,3502.0,0.659602,0.524644,1
P1214,circle,1948.0,3503.0,0.206443,0.524794,1
P1215,circle,2542.0,3506.0,0.269394,0.525243,1
P1216,circle,6343.0,3506.0,0.672213,0.525243,1
P1217,circle,6323.0,3513.0,0.670093,0.526292,1
P1218,circle,1809.0,3514.0,0.191713,0.526442,1
P1219,circle,2641.0,3515.0,0.279886,0.526592,1
P1220,circle,1215.5,3516.0,0.128815,0.526742,1
P1221,circle,1928.0,3516.0,0.204324,0.526742,1
P1222,circle,1869.0,3518.0,0.198071,0.527041,1
P1223,circle,1275.0,3519.0,0.135121,0.527191,1
P1224,circle,6402.0,3519.0,0.678465,0.527191,1
P1225,circle,1789.5,3525.0,0.189646,0.52809,1
P1226,circle,6382.0,3526.0,0.676346,0.52824,1
P1227,circle,2621.0,3527.0,0.277766,0.52839,1
P1228,circle,6283.0,3527.5,0.665854,0.528464,1
P1229,circle,1196.0,3528.0,0.126749,0.528539,1
P1230,circle,2562.0,3529.0,0.271513,0.528689,1
P1231,circle,1849.0,3530.5,0.195952,0.528914,1
P1232,circle,1255.0,3531.0,0.133001,0.528989,1
P1233,circle,6263.0,3535.0,0.663735,0.529588,1
P1234,circle,6244.0,3536.0,0.661721,0.529738,1
P1235,circle,6343.0,3541.0,0.672213,0.530487,1
P1236,circle,2542.0,3542.0,0.269394,0.530637,1
P1237,circle,6224.0,3544.0,0.659602,0.530936,1
P1238,circle,2641.0,3544.5,0.279886,0.531011,1
P1239,circle,1948.0,3545.0,0.206443,0.531086,1
P1240,circle,6323.0,3548.5,0.670093,0.53161,1
P1241,circle,6402.0,3549.0,0.678465,0.531685,1
P1242,circle,1215.0,3551.0,0.128762,0.531985,1
P1243,circle,1869.0,3554.0,0.198071,0.532434,1
P1244,circle,1809.0,3555.0,0.191713,0.532584,1
P1245,circle,6382.0,3556.0,0.676346,0.532734,1
P1246,circle,1928.0,3557.0,0.204324,0.532884,1
P1247,circle,2621.0,3557.0,0.277766,0.532884,1
P1248,circle,1275.0,3560.0,0.135121,0.533333,1
P1249,circle,6283.0,3563.0,0.665854,0.533783,1
P1250,other,1196.0,3564.0,0.126749,0.533933,1
P1251,circle,2562.0,3565.0,0.271513,0.534082,1
P1252,circle,1849.0,3566.0,0.195952,0.534232,1
P1253,circle,1789.5,3567.0,0.189646,0.534382,1
P1254,circle,6263.0,3570.5,0.663735,0.534906,1
P1255,circle,6343.0,3571.0,0.672213,0.534981,1
P1256,circle,6244.0,3572.0,0.661721,0.535131,1
P1257,circle,1255.0,3573.0,0.133001,0.535281,1
P1258,diamond,1109.5,3577.0,0.117582,0.53588,1
P1259,circle,2542.0,3578.0,0.269394,0.53603,1
P1260,circle,6323.0,3578.0,0.670093,0.53603,1
P1261,circle,6224.0,3579.0,0.659602,0.53618,1
P1262,circle,6402.0,3579.0,0.678465,0.53618,1
P1263,circle,1948.0,3580.5,0.206443,0.536404,1
P1264,circle,1215.5,3581.0,0.128815,0.536479,1
P1265,diamond,6442.0,3581.0,0.682705,0.536479,1
P1266,circle,6382.0,3586.0,0.676346,0.537228,1
P1267,diamond,6422.0,3588.5,0.680585,0.537603,1
P1268,circle,1809.0,3591.0,0.191713,0.537978,1
P1269,circle,1928.0,3593.0,0.204324,0.538277,1
P1270,circle,6283.0,3593.0,0.665854,0.538277,1
P1271,circle,1196.0,3594.0,0.126749,0.538427,1
P1272,circle,1869.0,3595.0,0.198071,0.538577,1
P1273,circle,2562.0,3595.0,0.271513,0.538577,1
P1274,circle,1275.0,3596.0,0.135121,0.538727,1
P1275,circle,6263.0,3600.0,0.663735,0.539326,1
P1276,circle,6343.0,3601.0,0.672213,0.539476,1
P1277,circle,1789.5,3602.0,0.189646,0.539625,1
P1278,circle,2542.0,3607.5,0.269394,0.540449,1
P1279,circle,1255.0,3608.0,0.133001,0.540524,1
P1280,circle,1849.0,3608.0,0.195952,0.540524,1
P1281,circle,6244.0,3608.0,0.661721,0.540524,1
P1282,circle,6323.0,3608.0,0.670093,0.540524,1
P1283,circle,6442.0,3608.0,0.682705,0.540524,1
P1284,circle,1215.5,3611.0,0.128815,0.540974,1
P1285,circle,6224.0,3615.0,0.659602,0.541573,1
P1286,circle,6422.0,3615.0,0.680585,0.541573,1
P1287,circle,1948.0,3622.0,0.206443,0.542622,1
P1288,circle,6283.0,3623.0,0.665854,0.542772,1
P1289,circle,1196.0,3624.0,0.126749,0.542921,1
P1290,diamond,4759.0,3624.5,0.504345,0.542996,1
P1291,circle,6263.0,3630.0,0.663735,0.54382,1
P1292,diamond,1473.0,3630.5,0.156104,0.543895,1
P1293,circle,1869.0,3631.0,0.198071,0.54397,1
P1294,circle,1809.0,3632.0,0.191713,0.54412,1
P1295,diamond,4739.0,3634.0,0.502226,0.544419,1
P1296,circle,1928.0,3634.5,0.204324,0.544494,1
P1297,circle,1275.0,3637.0,0.135121,0.544869,1
P1298,circle,6244.0,3638.0,0.661721,0.545019,1
P1299,diamond,1453.0,3643.0,0.153985,0.545768,1
P1300,circle,1849.0,3643.0,0.195952,0.545768,1
P1301,other,1790.0,3644.0,0.189699,0.545918,1
P1302,circle,6442.0,3644.0,0.682705,0.545918,1
P1303,circle,6224.0,3645.0,0.659602,0.546067,1
P1304,circle,1255.0,3650.0,0.133001,0.546816,1
P1305,circle,4759.0,3651.0,0.504345,0.546966,1
P1306,circle,6422.0,3651.0,0.680585,0.546966,1
P1307,diamond,1948.5,3655.5,0.206496,0.54764,1
P1308,circle,1473.0,3657.0,0.156104,0.547865,1
P1309,circle,4739.0,3660.5,0.502226,0.54839,1
P1310,diamond,1413.0,3668.0,0.149746,0.549513,1
P1311,circle,1809.0,3668.0,0.191713,0.549513,1
P1312,diamond,1928.0,3668.0,0.204324,0.549513,1
P1313,circle,1453.0,3670.0,0.153985,0.549813,1
P1314,circle,1869.0,3672.0,0.198071,0.550112,1
P1315,circle,1275.0,3673.0,0.135121,0.550262,1
P1316,circle,6442.0,3679.0,0.682705,0.551161,1
P1317,circle,1789.5,3679.5,0.189646,0.551236,1
P1318,diamond,1394.0,3680.5,0.147732,0.551386,1
